campaign_id,date,spend,impressions,clicks,conversions,revenue
G-BRAND-001,2025-07-01,134.37,3096,96,6,426.89
G-PERF-002,2025-07-01,227.67,4301,101,3,207.04
G-DISCO-003,2025-07-01,72.75,5745,121,1,47.7
G-BRAND-001,2025-07-02,128.7,2249,98,10,521.69
G-PERF-002,2025-07-02,240.58,3005,101,2,201.09
G-DISCO-003,2025-07-02,77.46,4734,113,3,140.6
G-BRAND-001,2025-07-03,144.43,3088,128,15,927.63
G-PERF-002,2025-07-03,215.2,2100,94,5,438.15
G-DISCO-003,2025-07-03,92.18,4533,132,2,74.87
G-BRAND-001,2025-07-04,109.97,2570,80,7,430.4
G-PERF-002,2025-07-04,197.02,2314,71,4,360.13
G-DISCO-003,2025-07-04,88.37,2684,132,1,42.83
G-BRAND-001,2025-07-05,108.76,2223,94,9,665.23
G-PERF-002,2025-07-05,166.32,2866,61,2,154.21
G-DISCO-003,2025-07-05,50.71,1725,95,1,47.8
G-BRAND-001,2025-07-06,83.82,2033,78,5,292.06
G-PERF-002,2025-07-06,151.3,1290,56,3,244.74
G-DISCO-003,2025-07-06,50.94,2402,97,1,36.85
G-BRAND-001,2025-07-07,102.58,1702,88,6,321.91
G-PERF-002,2025-07-07,198.16,2210,91,5,486.33
G-DISCO-003,2025-07-07,64.46,2411,114,2,81.61
G-BRAND-001,2025-07-08,134.46,2620,98,7,537.59
G-PERF-002,2025-07-08,247.59,2298,92,2,198.06
G-DISCO-003,2025-07-08,98.82,3380,154,3,116.25
G-BRAND-001,2025-07-09,141.75,2326,119,10,520.15
G-PERF-002,2025-07-09,192.42,1137,65,3,288.83
G-DISCO-003,2025-07-09,76.3,1995,110,3,112.63
G-BRAND-001,2025-07-10,125.16,1784,90,9,498.04
G-PERF-002,2025-07-10,207.53,2744,84,4,329.55
G-DISCO-003,2025-07-10,72.47,2479,122,1,41.61
G-BRAND-001,2025-07-11,155.71,3597,135,11,606.61
G-PERF-002,2025-07-11,182.47,1585,69,2,150.97
G-DISCO-003,2025-07-11,66.84,3944,115,3,154.42
G-BRAND-001,2025-07-12,70.18,1133,53,3,166.32
G-PERF-002,2025-07-12,177.49,1850,72,3,286.36
G-DISCO-003,2025-07-12,50.13,1960,73,1,44.41
G-BRAND-001,2025-07-13,97.82,1431,85,4,249.87
G-PERF-002,2025-07-13,135.75,2003,60,1,83.25
G-DISCO-003,2025-07-13,56.61,2934,88,2,87.95
