customer_id,date,amount
CUST-0325,2024-01-01,28.55
CUST-0240,2024-01-01,14.85
CUST-0231,2024-01-01,16.21
CUST-0021,2024-01-01,10.71
CUST-0200,2024-01-01,14.56
CUST-0180,2024-01-01,11.27
CUST-0298,2024-01-02,15.05
CUST-0223,2024-01-02,10.01
CUST-0366,2024-01-02,10.79
CUST-0298,2024-01-02,11.89
CUST-0356,2024-01-02,19.89
CUST-0368,2024-01-02,11.37
CUST-0282,2024-01-02,10.24
CUST-0113,2024-01-03,19.25
CUST-0117,2024-01-03,17.46
CUST-0495,2024-01-03,13.01
CUST-0006,2024-01-03,14.08
CUST-0282,2024-01-03,10.52
CUST-0114,2024-01-03,42.26
CUST-0195,2024-01-03,11.43
CUST-0418,2024-01-03,12.29
CUST-0269,2024-01-04,10.04
CUST-0417,2024-01-04,15.05
CUST-0492,2024-01-04,25.82
CUST-0424,2024-01-04,10.17
CUST-0489,2024-01-04,10.39
CUST-0101,2024-01-04,21.55
CUST-0008,2024-01-04,12.3
CUST-0377,2024-01-05,10.09
CUST-0299,2024-01-05,12.52
CUST-0455,2024-01-05,45.93
CUST-0052,2024-01-05,16.14
CUST-0338,2024-01-05,10.16
CUST-0056,2024-01-05,73.42
CUST-0278,2024-01-06,10.24
CUST-0250,2024-01-06,13.43
CUST-0200,2024-01-06,15.85
CUST-0496,2024-01-06,15.04
CUST-0383,2024-01-06,12.95
CUST-0249,2024-01-06,13.94
CUST-0494,2024-01-06,11.44
CUST-0447,2024-01-06,10.84
CUST-0102,2024-01-06,12.13
CUST-0112,2024-01-07,11.52
CUST-0303,2024-01-07,15.58
CUST-0377,2024-01-08,11.53
CUST-0269,2024-01-08,14.09
CUST-0098,2024-01-08,11.25
CUST-0455,2024-01-08,19.18
CUST-0485,2024-01-08,11.07
CUST-0078,2024-01-08,10.32
CUST-0207,2024-01-08,10.11
CUST-0183,2024-01-08,28.71
CUST-0404,2024-01-09,20.72
CUST-0348,2024-01-09,12.15
CUST-0052,2024-01-09,10.01
CUST-0048,2024-01-09,11.92
CUST-0377,2024-01-10,26.61
CUST-0303,2024-01-10,10.46
CUST-0153,2024-01-10,14.92
CUST-0089,2024-01-10,12.0
CUST-0208,2024-01-10,11.75
CUST-0310,2024-01-10,10.99
CUST-0035,2024-01-10,12.74
CUST-0077,2024-01-10,18.66
CUST-0093,2024-01-11,17.69
CUST-0110,2024-01-11,16.73
CUST-0403,2024-01-11,14.79
